tick,employed_households(Über Haushalte),BeschäftigteLeute(über Unternehmen),openPositions,durchschnittsgehalt,durchschnittspreis,durchschnittsinventar,gesamtNachfrageLetzterMonat,geplanterMonatlicherKonsum(Haushalte),allUnternehmenMoney,allHaushalteMoney,allMoney
40530.0,995,995,18,0.99254016707736,1.7862722470202979,627.87,104704.81893459486,34815.117346445855,72111.92901898014,127888.07098102066,200000.00000000081
40551.0,994,994,15,0.9903065276226394,1.7863017379601331,617.84,120604.8785368625,34736.552675610816,72297.0359378578,127702.9640621427,200000.0000000005
40572.0,988,988,22,0.9991394077103456,1.7853840601423112,618.82,129603.7200273592,34997.04574935422,70173.55299749291,129826.44700250779,200000.0000000007
40593.0,987,987,21,1.009273701822614,1.7863988667232418,619.11,96236.1053817836,34727.60941440007,73026.47755526275,126973.52244473802,200000.00000000076
40614.0,984,984,17,1.0059812836189344,1.7833913232086578,608.5,117594.09630907177,34819.729974733746,71263.07283539957,128736.92716460116,200000.00000000073
40635.0,980,980,11,1.0066137398673165,1.7813846533118423,620.56,108600.34184796344,35052.38062788672,67747.9659127384,132252.034087262,200000.0000000004
40656.0,975,975,5,1.0078194012977941,1.779389732448349,601.66,129929.01856630712,35061.28516325035,73339.61746688548,126660.38253311497,200000.00000000047
40677.0,969,969,0,0.9913511973213115,1.7781862336454315,542.48,129772.26438645544,34999.90568502129,81636.71951212431,118363.2804878761,200000.0000000004
40698.0,964,964,4,0.9881488520776898,1.7766095617564062,555.8,138485.22417324118,35156.96316651701,66782.39076661103,133217.60923338914,200000.00000000017
40719.0,971,971,3,0.9974415396542734,1.775585830749481,564.72,129794.8577552503,34996.91736036781,67482.21101306283,132517.78898693723,200000.00000000006
40740.0,982,982,3,0.9890921865415535,1.7739958049963915,571.56,150218.26642048475,35199.32044575676,68766.67068565692,131233.3293143432,200000.00000000012
40761.0,991,991,6,0.9948065527999634,1.7743620026189308,544.72,116672.73090655814,35016.61467361727,75218.45544477734,124781.54455522266,200000.0
40782.0,992,992,10,0.9984685973428077,1.7727282209504123,541.06,155507.031449535,35325.01354779935,71253.98578931065,128746.01421068932,199999.99999999997
40803.0,988,988,24,1.0049093307986288,1.7745380561556028,548.46,145034.85299443663,35178.771964582294,69954.6977769193,130045.30222308073,200000.00000000003
40824.0,995,995,28,1.0135316163361603,1.7795483197847701,549.01,138355.09868173202,35117.68716912783,74103.83611505662,125896.16388494325,199999.99999999988
40845.0,996,996,31,1.0143704021552902,1.7790343814468756,563.06,157973.38842826075,35141.861991190446,68532.14083589448,131467.8591641055,199999.99999999997
40866.0,997,997,31,1.0144508430599009,1.7806727285817245,554.89,123180.96025079912,35010.87204305392,73269.1791293943,126730.82087060546,199999.99999999977
40887.0,995,995,22,1.0127071008386617,1.7810054491806064,548.67,123668.7234870931,34712.39813096336,73824.06795655201,126175.93204344745,199999.99999999948
40908.0,996,996,23,1.0086304598106852,1.7790406201287887,543.76,115326.66262095491,35094.42691456043,74416.29830259585,125583.70169740371,199999.99999999956
40929.0,982,982,23,1.0138750975404989,1.7774037332255979,525.27,146649.22593834394,35173.69061846932,74783.17124808553,125216.82875191412,199999.99999999965
40950.0,993,993,20,1.015622850154162,1.7814237232901378,527.11,146941.616770884,35233.76627763058,71373.35958653643,128626.64041346338,199999.99999999983
40971.0,999,999,26,1.0101509386817786,1.7831454604093084,544.51,129554.64029645544,34968.51787029762,71324.32972134813,128675.6702786518,199999.99999999994
40992.0,996,996,28,1.0145380591575308,1.783256739599969,576.94,126631.65354733329,35061.010856311375,66326.90060992519,133673.09939007464,199999.99999999983
41013.0,995,995,28,1.013795153580267,1.7814230962095559,565.91,124029.31860248248,35240.114543196156,73360.03960344967,126639.9603965503,199999.99999999997
41034.0,991,991,23,1.0166461639984254,1.7796804836436138,576.92,88805.18888402088,35009.36111008622,70251.20087513,129748.79912486997,199999.99999999997
41055.0,985,985,12,1.0077552765799465,1.7757016319827728,556.76,136606.96352389693,35112.79213247831,73712.158264817,126287.84173518284,199999.99999999983
41076.0,982,982,11,1.0029846734741745,1.7752722348022365,549.49,114017.8199266727,35229.20402087364,72662.98758837664,127337.01241162309,199999.9999999997
41097.0,990,990,14,1.0072208939618963,1.7760930695040351,557.29,98961.25607569904,35111.62409045268,69366.90783485284,130633.09216514674,199999.9999999996
41118.0,989,989,11,1.0084278178530164,1.7754101830870102,542.27,125771.48993988703,34826.5816020244,72174.56614462269,127825.43385537706,199999.99999999977
41139.0,987,987,14,1.007976047342259,1.7765626266699936,521.15,141519.3845499828,35106.28943425206,73013.55740685496,126986.44259314491,199999.99999999988
41160.0,992,992,22,1.007562443601014,1.7785373568284422,550.37,161335.78596755496,35159.55432203236,68208.87723052241,131791.12276947775,200000.00000000017
41181.0,995,995,37,1.006568405785505,1.7798304543131094,559.88,110630.93624768054,35157.80173677948,70861.61012153784,129138.38987846236,200000.0000000002
41202.0,994,994,31,1.0042970843930108,1.781003812060261,548.42,130842.84611219306,34870.32937662061,75265.61012050815,124734.389879492,200000.00000000015
41223.0,987,987,26,1.0070830800692168,1.780609766404664,548.93,129745.25849406555,35042.06670845375,72243.16184211208,127756.83815788808,200000.00000000017
41244.0,986,986,23,1.007368944870496,1.7768239267833539,542.43,114886.96341805812,34967.97640943634,72566.93431852225,127433.06568147795,200000.0000000002
41265.0,985,985,22,1.0168324745172619,1.778306382045434,493.66,138123.90014154493,35090.51940307238,80253.74837901934,119746.25162098093,200000.00000000026
41286.0,995,995,27,1.0134287375149944,1.781176810082543,484.51,122266.28065164851,34775.4080865865,73069.16555381309,126930.83444618712,200000.0000000002
41307.0,998,998,36,1.0191600824630986,1.7832262106967158,485.08,124517.06740424185,34946.68460316956,74459.67698431277,125540.32301568735,200000.00000000012
41328.0,995,995,30,1.0248731484778324,1.785226804699354,505.24,134971.96166249612,35124.73519776683,69124.81120649209,130875.1887935085,200000.00000000058
41349.0,990,990,35,1.024777286322233,1.785728267812582,505.89,111190.9189262957,34855.456433092324,73424.45706794363,126575.54293205681,200000.00000000044
41370.0,991,991,27,1.0258015464873285,1.7853586004272972,528.14,131350.2193164305,35034.20744446852,68140.99227254177,131859.0077274587,200000.00000000047
41391.0,992,992,24,1.0294879216767527,1.7872748305201656,522.74,121381.56722418155,34967.283832387555,72575.32540488051,127424.67459511997,200000.00000000047
41412.0,994,994,22,1.0286679271462995,1.7870068234539511,548.38,112256.50431449903,34690.14278341853,67544.42387742766,132455.57612257297,200000.00000000064
41433.0,992,992,24,1.026087891244864,1.788121998017307,516.44,129886.19320604729,35069.7113848131,77032.04028833385,122967.95971166663,200000.00000000047
41454.0,986,986,24,1.0260913327729353,1.788373193281378,517.68,130702.7468565628,34875.24764417351,71986.81516517121,128013.18483482918,200000.0000000004
41475.0,994,994,25,1.0257898662212228,1.7916214585525416,540.9,107117.39529659261,35121.64640710155,67191.05092733588,132808.94907266463,200000.00000000052
41496.0,993,993,16,1.028179375707217,1.7905702699570611,546.01,106484.98069881758,34911.24221273863,73125.1471605983,126874.85283940217,200000.00000000047
41517.0,982,982,16,1.0292317381041378,1.790585238213699,536.73,114978.46527735844,35021.26469461143,73233.62038493282,126766.37961506749,200000.0000000003
41538.0,987,987,12,1.0317843424679092,1.790192602880129,540.14,122242.23593248939,34767.96375738792,71741.9177064236,128258.08229357698,200000.00000000058
41559.0,990,990,9,1.0242177790104003,1.791504407623849,525.88,144164.14236103583,34961.45987553202,73575.16387218835,126424.83612781201,200000.00000000035
41580.0,993,993,12,1.0161462879969771,1.7928300431790343,489.91,102464.26614175769,34643.792544208576,79735.72712388988,120264.27287611023,200000.00000000012
41601.0,994,994,12,1.0202008827315225,1.7904044623313202,490.95,130327.6572271747,34779.25109277215,70530.82590125699,129469.17409874339,200000.00000000038
41622.0,987,987,24,1.0258687359450325,1.7889068059244653,479.51,115914.80281848705,34806.276567479916,74209.47239926233,125790.52760073786,200000.00000000017
41643.0,989,989,23,1.034105795953746,1.7898000610481282,497.05,124468.17409853531,34943.14716178416,69728.0166695063,130271.9833304941,200000.0000000004
41664.0,989,989,22,1.035854495133361,1.790637763693682,488.48,101531.18587673991,34885.96445320481,74050.52129285217,125949.47870714783,200000.0
41685.0,983,983,18,1.0352635606782683,1.788500081760449,488.07,130916.47051823908,34922.6244884749,70791.66204159615,129208.33795840395,200000.00000000012
41706.0,988,988,17,1.0347985197910394,1.7896285732775974,514.21,134259.3012852925,34933.49608686445,67996.23604084368,132003.7639591564,200000.0000000001
41727.0,993,993,16,1.0341837586396987,1.7880890457873,528.85,137350.67405348958,35296.65622708945,67429.62514582633,132570.37485417374,200000.00000000006
41748.0,987,987,19,1.0299624541350731,1.7877565088576228,586.56,142390.56396212746,34931.73840209153,63445.30086108395,136554.69913891586,199999.99999999983
41769.0,992,992,16,1.0270145056378264,1.7884877242207573,583.83,120394.00962274385,34671.77166603539,73562.33711022396,126437.66288977575,199999.9999999997
41790.0,993,993,18,1.0241901218857499,1.7893462566207317,599.19,102109.60102722095,35081.20797059053,68646.36758980063,131353.6324101996,200000.00000000023
41811.0,993,993,15,1.0252858329447054,1.7877543175116142,574.25,121358.65182613375,34973.3804293474,75144.5219921835,124855.47800781623,199999.9999999997
41832.0,989,989,13,1.0231246366578173,1.787681106301339,559.18,110833.18828720799,34739.50123879968,73228.95362598215,126771.04637401753,199999.99999999968
41853.0,990,990,12,1.0169619859843053,1.789359054484248,574.86,109927.75407982524,34970.12390278058,68495.58178315252,131504.41821684723,199999.99999999977
41874.0,987,987,14,1.0158096343160963,1.7881341796578696,565.26,127488.66072874465,34839.27784301897,73053.26097143558,126946.73902856422,199999.9999999998
41895.0,983,983,15,1.0200350113076355,1.7870674394086683,568.64,122662.1426978271,34875.6674306188,69038.97642459207,130961.02357540795,200000.0
41916.0,986,986,19,1.0170614576918082,1.786535941466607,570.42,120554.93657997996,34712.89829877734,72036.47862695108,127963.52137304876,199999.99999999983
41937.0,991,991,17,1.0195256016398146,1.7882328093898956,587.23,116354.21440554653,34913.985223052056,68588.47268504731,131411.5273149528,200000.00000000012
41958.0,995,995,17,1.0168922464687769,1.7869642266728412,578.73,129825.23221836964,35040.75478390102,74224.15405015253,125775.8459498474,199999.99999999994
41979.0,990,990,24,1.0148023293512616,1.7894442286721957,572.63,130191.39854098985,34722.52950952199,70743.6371864418,129256.36281355782,199999.99999999962
42000.0,990,990,26,1.0121848041228874,1.788829576118068,575.35,122712.75842526955,34877.417023817536,72764.50103768289,127235.4989623167,199999.9999999996
42021.0,986,986,31,1.0061043691662672,1.7912804752448677,597.24,105469.36989751171,35107.62342995183,66423.68512374315,133576.31487625642,199999.9999999996
42042.0,991,991,22,1.0101658314505808,1.7902874907026,570.42,133978.18490607833,34833.557454941525,76718.36689822428,123281.63310177553,199999.99999999983
42063.0,989,989,20,1.0126265768006126,1.7915009180547126,556.33,106474.28585046327,34915.475845235305,75060.22926954679,124939.7707304532,200000.0
42084.0,984,984,19,1.0146217549229655,1.7902606368147282,550.78,113706.69340442088,34621.43706667422,72589.2056965033,127410.79430349653,199999.99999999983
42105.0,979,979,15,1.014307697273266,1.7887499310914137,519.67,122710.45874525586,34876.7460212494,77030.0902201092,122969.90977989037,199999.99999999956
42126.0,987,987,6,1.0127582138260056,1.7883676040646932,546.2,139371.22125391214,34986.99592187224,65633.8120284499,134366.1879715497,199999.9999999996
42147.0,990,990,11,1.0173340848242878,1.7898466704685847,534.36,115829.4448605375,34768.69577354202,74677.0740261333,125322.92597386641,199999.9999999997
42168.0,991,991,16,1.0174615075388755,1.790569285816191,538.29,112693.7024328118,34812.546976720594,71087.82061122009,128912.17938877955,199999.99999999965
42189.0,989,989,19,1.0187140207689869,1.792042123057291,555.03,109974.92835166049,34971.734503308544,68875.84108439751,131124.158915602,199999.9999999995
42210.0,986,986,17,1.0151588781594758,1.7905780544369552,561.04,93414.10663292826,34870.7484480158,70754.10367214662,129245.89632785297,199999.9999999996
42231.0,982,982,18,1.007383948954626,1.7902054165599552,571.29,118140.82035732122,34964.339292727265,68100.0179194603,131899.98208053963,199999.99999999994
42252.0,979,979,11,1.005606554882808,1.7903675190177812,541.95,97317.55570129388,34514.12291673411,78108.54856143754,121891.45143856193,199999.99999999948
42273.0,987,987,5,0.9997748984982014,1.7900277068494121,567.94,127917.96968023233,34969.908671577585,64165.032722162665,135834.96727783646,199999.99999999913
42294.0,985,985,6,0.9993195253557038,1.7896761024288699,549.8,114959.03253455894,34966.99755240938,74700.50784346,125299.49215653937,199999.99999999936
42315.0,987,987,8,0.985420525707986,1.78853746301454,531.71,112524.04671742952,34728.999705729584,75358.3398610434,124641.66013895594,199999.99999999933
42336.0,989,989,7,0.9815149168680457,1.7876038017590605,524.42,105039.28775937196,34940.46000822087,71747.19116917343,128252.80883082595,199999.99999999936
42357.0,979,979,12,0.9853831723298593,1.7850247549760774,514.14,122044.07809259107,34668.65998253592,71039.28420869706,128960.71579130227,199999.99999999933
42378.0,987,987,7,0.9883263596644022,1.7853312421831067,555.39,142728.15225451704,34963.835290388066,66452.4988268609,133547.5011731385,199999.99999999942
42399.0,992,992,14,0.9866420653237884,1.7856149049511927,556.63,110497.26040388421,34589.60458027415,69911.6650436998,130088.33495629927,199999.99999999907
42420.0,992,992,22,0.9822116672424849,1.7847322525919578,575.97,131177.51558440216,34938.07963943657,68308.31431063231,131691.68568936674,199999.99999999907
42441.0,994,994,24,0.9825708703919616,1.7862981849507746,586.13,118874.83732896019,35170.60846127086,71662.91795475002,128337.08204524894,199999.99999999895
42462.0,994,994,23,0.9832018133493164,1.7864448234554748,597.5,120027.52602998601,35042.852752592895,67507.86253068449,132492.13746931445,199999.99999999895
42483.0,992,992,21,0.9801471851137126,1.7852349992880798,592.79,105069.10143836225,34933.99743395484,70500.16534660605,129499.83465339289,199999.99999999895
42504.0,993,993,15,0.9760505248852215,1.7849619792812306,597.35,127620.31190392392,34867.09597733012,70715.91072548636,129284.08927451244,199999.9999999988
42525.0,987,987,23,0.9780538960857648,1.7849775636234666,627.64,123091.46155916603,34954.49685918469,67465.37429602529,132534.6257039736,199999.9999999989
42546.0,987,987,17,0.9864786412678432,1.784296301771391,622.49,115683.48080206198,35185.84634821847,69373.84875334536,130626.15124665345,199999.9999999988
42567.0,986,986,13,0.98583657661557,1.7823937842277469,610.86,97231.80743217164,35075.472837552006,69843.9840865023,130156.0159134966,199999.9999999989
42588.0,983,983,10,0.9937809982582428,1.7826628368061421,613.57,126614.04760713104,35044.71746575563,70282.77367639355,129717.22632360535,199999.9999999989
42609.0,982,982,15,0.9879250827258726,1.7833919943664684,597.57,98873.39627402318,35063.00727834985,73738.60261539524,126261.39738460377,199999.999999999
42630.0,988,988,12,0.9874047049827039,1.7819610777657169,599.3,113563.11888544136,35034.29546993675,71635.43132746321,128364.56867253562,199999.99999999884
42651.0,987,987,15,0.9852488828841405,1.7815992257790743,580.07,138151.32045854352,35055.04112671206,73700.96924846729,126299.03075153152,199999.9999999988
42672.0,987,987,13,0.9838807006567564,1.781244235659419,547.11,121940.94523483195,35111.83811369232,74724.49036718249,125275.50963281622,199999.99999999872
42693.0,994,994,12,0.9907858736477039,1.780716763162761,557.69,142480.04689980726,34940.08840136288,68780.54893087682,131219.45106912186,199999.99999999866
42714.0,993,993,19,0.994156066398337,1.779711219230617,552.98,117432.45429326878,34760.35838509008,71401.50664537924,128598.49335461928,199999.99999999852
42735.0,993,993,15,0.9929563111896016,1.7787351500450586,570.56,114695.57934469466,34921.127769802544,69677.98737099818,130322.01262900016,199999.99999999834
42756.0,986,986,11,0.9992746664674732,1.7789185748659253,559.38,141885.93041319077,34809.322994407834,72233.05701442703,127766.94298557127,199999.9999999983
42777.0,987,987,17,0.998600379685509,1.7799985034460468,576.96,133395.43782019938,35125.539310014305,66018.88471119391,133981.11528880423,199999.99999999814
42798.0,992,992,16,1.0012617406098392,1.7797637282983458,570.49,113871.40034423243,35147.86335587211,74412.39281863354,125587.60718136466,199999.9999999982
42819.0,991,991,17,0.9947578466395405,1.779974692493265,573.71,124790.60478677363,35007.23822248397,72517.68896471536,127482.3110352829,199999.99999999825
42840.0,992,992,16,0.9959199740976322,1.7799320454357428,537.97,117023.98028558285,35142.407100379154,76140.89935610713,123859.10064389114,199999.99999999825
42861.0,988,988,18,0.997081270143619,1.77830608298309,539.94,106890.56080309907,35044.77875909945,70177.66708789115,129822.33291210706,199999.9999999982
42882.0,984,984,15,1.0043634985408187,1.775614574642393,533.49,111836.31453900383,35027.34426296683,72797.50544104223,127202.49455895583,199999.99999999808
42903.0,986,986,11,1.0028822649777422,1.774235423387154,498.19,112852.72011077453,35344.97862261213,77935.98754441725,122064.01245558076,199999.99999999802
42924.0,984,984,12,1.0054114661181441,1.7731848091958309,459.63,120626.08768731556,35229.436884970746,75972.13206843556,124027.86793156242,199999.99999999796
42945.0,989,989,12,1.0073808773632258,1.774959004942032,450.29,133842.4151280041,35256.43994870929,72088.26472229368,127911.73527770425,199999.99999999793
42966.0,988,988,27,1.00498181870506,1.7757555932360234,457.97,167594.06236006,35053.60867900142,68940.49441352833,131059.50558646975,199999.99999999808
42987.0,992,992,35,1.0087178071627536,1.7775647581586371,462.66,125226.35164538577,35114.79557012022,72366.37955252366,127633.6204474745,199999.99999999817
43008.0,995,995,36,0.9995985371097333,1.7798953676705245,437.95,134818.40469194783,35065.78132318826,74292.6030435042,125707.39695649399,199999.9999999982
